service;origin;destiny;color;color_id
02a;CENTINELA;;-;0
02d;DIEGO PORTALES;;-;0
02k;LOS COPIHUES;;-;0
02p;PEñUELAS;;-;0
10a;CENTINELA;;-;0
10b;LOBOS VIEJOS;;-;0
10c;LAS CANCHAS;;-;0
10d;LAS CANCHAS;;-;0
10j;CENTINELA;;-;0
10k;CHIGUAYANTE;;-;0
10l;LOS BLOQUES;;-;0
10m;LEONERA;;-;0
10n;LOS BLOQUES;;-;0
10o;PORVENIR;;-;0
10p;LEONERA;;-;0
10t;TUMBES;;-;0
11e;TALCAHUANO;;-;0
11f;TALCAHUANO;;-;0
11q;LOS BLOQUES;;-;0
11r;LOS BLOQUES;;-;0
12a;LEONERA;;-;0
12b;LEONERA;;-;0
12q;PUERTO;;-;0
12r;PUERTO;;-;0
13g;PUERTA LOS LEONES;;-;0
13s;LEONERA;;-;0
14h;SAN VICENTE;;-;0
14t;LOS ALTOS;;-;0
14u;LOS ALTOS ; POLICLINICO;-;0
14z;TERMINAL COLLAO;;-;0
16h;SAN VICENTE;;-;0
16i;SAN VICENTE;;-;0
16k;LEONERA;;-;0
16v;LEONERA;;-;0
17a;CERRO VERDE BAJO;;-;0
17o;VALLE NONGUEN;;-;0
17w;PORVENIR ; LOS BLOQUES;-;0
17x;PORVENIR ; LOS BLOQUES;-;0
18p;RINCONADA;;-;0
18y;PALOMARES;;-;0
20a;PUERTA LOS LEONES;;-;0
20j;PUERTA LOS LEONES;;-;0
20l;BOCA SUR;;-;0
20v;BOCA SUR;;-;0
20w;SAN PEDRO DE LA COSTA;;-;0
20z;PUERTA LOS LEONES;;-;0
21b;CANDELARIA;;-;0
21q;TERMINAL COLLAO;;-;0
22c;LOMAS COLORADAS ; COLOANE;-;0
22d;MICHAIHUE;;-;0
22e;CANDELARIA;;-;0
22j;COLLAO;;-;0
22k;LA ARAUCANA;;-;0
22n;MICHAIHUE;;-;0
22o;SAN PEDRO DE LA COSTA;;-;0
22r;UNIVERSIDAD BIO BIO;;-;0
22s;LA ARAUCANA;;-;0
22x;GALVARINO ; HOSPITAL REGIONAL;-;0
23a;TERMINAL COLLAO;;-;0
23l;MICHAIHUE;;-;0
23n;TERMINAL COLLAO;;-;0
23p;VALLE NONGUéN;;-;0
23q;MICHAIHUE;;-;0
23t;SAN PEDRO DE LA COSTA;;-;0
24f;LOS FRESNOS;;-;0
24m;CANDELARIA;;-;0
24r;CANDELARIA;;-;0
24t;LOS FRESNOS;;-;0
30b;LIRQUEN;;-;0
30c;LIRQUEN;;-;0
30d;RIOS DE CHILE;;-;0
30e;PENCO CHILE;;-;0
30m;INDUSTRIAS;;-;0
30n;INDUSTRIAS;;-;0
30q;MALL ; LAS HIGUERAS;-;0
30r;LAS HIGUERAS;;-;0
31d;LOBOS VIEJOS;;-;0
31f;LIRQUéN;;-;0
32e;LOBOS VIEJOS;;-;0
32g;RIOS DE CHILE;;-;0
32h;LOBOS VIEJOS;;-;0
32y;RIOS DE CHILE;;-;0
40b;LA ARAUCANA;;-;0
40g;CANDELARIA;;-;0
40n;4 ESQUINAS;;-;0
40p;4 ESQUINAS;;-;0
41c;TERMINAL COLLAO;;-;0
41q;CENTRO;;-;0
41r;4 ESQUINAS;;-;0
41v;4 ESQUINAS;;-;0
42f;4 ESQUINAS;;-;0
42h;4 ESQUINAS;;-;0
42u;TERMINAL COLLAO;;-;0
42w;CENTRO CONCEPCIóN;;-;0
43j;SANTA SABINA;;-;0
43t;CCU;;-;0
44e;LOMAS DE SAN ANDRéS;;-;0
44u;HUALPENCILLO ; DIEGO PORTALES;-;0
50s;CENTRO CONCEPCIóN;;-;0
50u;LAS HIGUERAS ; GAETE;-;0
52a;PUERTA LOS LEONES;;-;0
52d;PALOMARES;;-;0
56o;PUERTA LOS LEONES;;-;0
56v;LOS FRESNOS;;-;0
57p;SAN VICENTE;;-;0
57y;COSMITO;;-;0
60k;SANTA SABINA;;-;0
60l;LOMAS;;-;0
60m;BARIO NORTE ; SANTA SABINA;-;0
60x;HUALPéN;;-;0
60y;PADRE HURTADO;;-;0
60z;PEDRO DE VALDIVIA;;-;0
62h;LIRQUEN;;-;0
62m;SAN VICENTE;;-;0
62n;SAN VICENTE;;-;0
62o;VILLA CAP ; BARRIO NORTE;-;0
63f;CHILLANCITO;;-;0
63g;BARRIO NORTE;;-;0
63h;BARRIO NORTE;;-;0
63i;RECODO;;-;0
63k;JUAN PABLO II;;-;0
63p;BARRIO NORTE;;-;0
65d;RENé SCHNEIDER;;-;0
65e;PEñUELAS;;-;0
65q;SANTA SABINA;;-;0
65r;SANTA SABINA;;-;0
70f;VALLE NONGUéN;;-;0
70g;LOS COPIHUES;;-;0
70h;CALETA PLATA ; NONGUEN;-;0
70i;CENTINELA;;-;0
70j;VALLE NONGUéN;;-;0
70k;NONGUéN ; CALETA PLATA;-;0
71i;CALETA LENGUA;;-;0
71z;VALLE NONGUéN;;-;0
72j;LONCO;;-;0
72k;LONCO;;-;0
72w;VALLE NONGUéN;;-;0
72z;VALLE NOBLE;;-;0
80h;HUALQUI;;-;0
80j;SAN VICENTE;;-;0
80k;SAN VICENTE;;-;0
80l;SAN VICENTE;;-;0
80q;SANTA JOSEFINA;;-;0
80z;VALLE LA PIEDRA;;-;0
81c;PUERTO;;-;0
81s;HUALQUI;;-;0
90e;LAGOS DE CHILE;;-;0
90j;PARQUE CENTRAL;;-;0
90x;PARQUE CENTRAL;;-;0
90y;LOS QUEULES;;-;0
B02;EIM CONCEPCIóN ; UDLA CASINO;-;0
Linea 1;;;-;0
Linea 2;;;-;0
