stop_code;stop_name;stop_lat;stop_lon
AG;Camino Agrícola;-33.49158577;-70.61753772
AH;San Alberto Hurtado;-33.4541158;-70.69244156
AL;Alcántara;-33.41532925;-70.58946345
AN;Santa Ana;-33.4382608;-70.6598318
AV;Vespucio Norte;-33.38043757;-70.64682174
BA;Baquedano;-33.43704093;-70.63353064
BE;Bellas Artes;-33.43661601;-70.64452646
BI;Francisco Bilbao;-33.4314887;-70.58464899
BL;Blanqueado;-33.44151165;-70.70733161
BR;Barrancas;-33.45267751;-70.73901813
BU;Santiago Bueras;-33.4966492;-70.75757079
CA;Cal y Canto;-33.43272221;-70.65250915
CB;Cerro Blanco;-33.42255949;-70.64498188
CE;Cementerios;-33.41407403;-70.64356368
CH;Universidad de Chile;-33.44381576;-70.65039595
CN;Ciudad del Niño;-33.51016653;-70.65686527
CO;Cristóbal Colón;-33.42623115;-70.59097429
CV;Carlos Valdovinos;-33.48564214;-70.61965503
DE;Departamental;-33.50255786;-70.6546427
DO;Dorsal;-33.39680665;-70.6426794
DS;Del Sol;-33.48999766;-70.75285145
EA;Elisa Correa;-33.5694096;-70.58362038
EC;Ecuador;-33.4560549;-70.69967678
EG;Plaza Egaña;-33.4532828;-70.57073648
EI;Einstein;-33.40573774;-70.64313783
EL;Estación Central;-33.4509776;-70.67916969
EM;Escuela Militar;-33.41375834;-70.58325147
EP;El Parrón;-33.52653641;-70.66143062
FR;Franklin;-33.47621941;-70.64963277
GA;Príncipe de Gales;-33.43916616;-70.57309591
GL;Gruta de Lourdes;-33.43826562;-70.69084291
GO;El Golf;-33.41661106;-70.59569187
HM;Hernando de Magallanes;-33.40790476;-70.55621978
HS;Hospital Sótero del Río;-33.57646866;-70.58238104
IR;Irarrázaval;-33.45376927;-70.62877705
JE;San José de la Estrella;-33.5533645;-70.58656955
JU;Santa Julia;-33.53110695;-70.60550244
LA;Unión Latino Americana;-33.44947094;-70.67321305
LC;La Cisterna;-33.53744645;-70.66425618
LD;Los Dominicos;-33.40789932;-70.54511181
LE;Los Leones;-33.42217108;-70.60859166
LF;Bellavista de la Florida;-33.51982871;-70.59965221
LG;La Granja;-33.54114326;-70.61597279
LH;Los Héroes;-33.4461085;-70.66036857
LL;El Llano;-33.48270587;-70.64945441
LM;La Moneda;-33.44485707;-70.65481544
LO;Lo Ovalle;-33.51720303;-70.65871128
LP;Los Presidentes;-33.4798036;-70.57871606
LQ;Los Quillayes;-33.56063153;-70.58529133
LR;Las Rejas;-33.45715883;-70.7059707
